"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"pere ubu","200+","April 24, 2025 at 5:20:00 AM UTC-6","April 24, 2025 at 7:30:00 AM UTC-6","pere ubu","https://trends.google.com/trends/explore?q=pere%20ubu&geo=US&hl=en"
"lil durk","200+","April 24, 2025 at 2:10:00 AM UTC-6","April 24, 2025 at 6:40:00 AM UTC-6","lil durk","https://trends.google.com/trends/explore?q=lil%20durk&geo=US&hl=en"
"liam spencer","500+","April 23, 2025 at 9:10:00 PM UTC-6","April 23, 2025 at 10:40:00 PM UTC-6","liam spencer","https://trends.google.com/trends/explore?q=liam%20spencer&geo=US&hl=en"
"chris kyle death","500+","April 24, 2025 at 1:10:00 AM UTC-6","April 24, 2025 at 2:40:00 AM UTC-6","chris kyle death,who killed chris kyle","https://trends.google.com/trends/explore?q=chris%20kyle%20death&geo=US&hl=en"
"jenny mccarthy","200+","April 24, 2025 at 4:20:00 AM UTC-6","April 24, 2025 at 5:50:00 AM UTC-6","jenny mccarthy","https://trends.google.com/trends/explore?q=jenny%20mccarthy&geo=US&hl=en"
"paige desorbo","200+","April 24, 2025 at 3:10:00 AM UTC-6","April 24, 2025 at 4:30:00 AM UTC-6","paige desorbo","https://trends.google.com/trends/explore?q=paige%20desorbo&geo=US&hl=en"
"beyonce","200+","April 24, 2025 at 2:00:00 AM UTC-6","April 24, 2025 at 3:20:00 AM UTC-6","beyonce","https://trends.google.com/trends/explore?q=beyonce&geo=US&hl=en"
"stranger things","200+","April 24, 2025 at 2:10:00 AM UTC-6","April 24, 2025 at 3:20:00 AM UTC-6","stranger things","https://trends.google.com/trends/explore?q=stranger%20things&geo=US&hl=en"
"mila kunis","200+","April 23, 2025 at 11:40:00 PM UTC-6","April 24, 2025 at 1:10:00 AM UTC-6","mila kunis","https://trends.google.com/trends/explore?q=mila%20kunis&geo=US&hl=en"
"game of thrones","200+","April 24, 2025 at 2:10:00 AM UTC-6","April 24, 2025 at 3:10:00 AM UTC-6","game of thrones","https://trends.google.com/trends/explore?q=game%20of%20thrones&geo=US&hl=en"
"all american","200+","April 23, 2025 at 11:40:00 PM UTC-6","April 24, 2025 at 4:00:00 AM UTC-6","all american","https://trends.google.com/trends/explore?q=all%20american&geo=US&hl=en"
"lori romero ransom canyon","200+","April 23, 2025 at 11:00:00 PM UTC-6","April 24, 2025 at 12:10:00 AM UTC-6","lori romero ransom canyon","https://trends.google.com/trends/explore?q=lori%20romero%20ransom%20canyon&geo=US&hl=en"
"prey","200+","April 24, 2025 at 12:40:00 AM UTC-6","April 24, 2025 at 2:30:00 AM UTC-6","prey","https://trends.google.com/trends/explore?q=prey&geo=US&hl=en"
"camila cabello","200+","April 23, 2025 at 8:50:00 PM UTC-6","April 23, 2025 at 9:50:00 PM UTC-6","camila cabello","https://trends.google.com/trends/explore?q=camila%20cabello&geo=US&hl=en"
"matt damon","500+","April 23, 2025 at 10:40:00 PM UTC-6","April 24, 2025 at 1:10:00 AM UTC-6","matt damon","https://trends.google.com/trends/explore?q=matt%20damon&geo=US&hl=en"
"jared leto","100+","April 24, 2025 at 1:00:00 AM UTC-6","April 24, 2025 at 2:10:00 AM UTC-6","jared leto","https://trends.google.com/trends/explore?q=jared%20leto&geo=US&hl=en"
"shrinking","200+","April 24, 2025 at 7:40:00 AM UTC-6","April 24, 2025 at 8:00:00 AM UTC-6","shrinking","https://trends.google.com/trends/explore?q=shrinking&geo=US&hl=en"
"nathan fielder","200+","April 23, 2025 at 11:50:00 PM UTC-6","April 24, 2025 at 12:20:00 AM UTC-6","nathan fielder","https://trends.google.com/trends/explore?q=nathan%20fielder&geo=US&hl=en"
"quentin tarantino","200+","April 24, 2025 at 12:10:00 AM UTC-6","April 24, 2025 at 1:50:00 AM UTC-6","quentin tarantino","https://trends.google.com/trends/explore?q=quentin%20tarantino&geo=US&hl=en"
"stranger things cast","100+","April 24, 2025 at 1:20:00 AM UTC-6","April 24, 2025 at 2:20:00 AM UTC-6","stranger things cast","https://trends.google.com/trends/explore?q=stranger%20things%20cast&geo=US&hl=en"
"willem dafoe","200+","April 23, 2025 at 10:10:00 PM UTC-6","April 23, 2025 at 10:40:00 PM UTC-6","willem dafoe","https://trends.google.com/trends/explore?q=willem%20dafoe&geo=US&hl=en"
"sopranos","200+","April 24, 2025 at 12:10:00 AM UTC-6","April 24, 2025 at 1:30:00 AM UTC-6","sopranos","https://trends.google.com/trends/explore?q=sopranos&geo=US&hl=en"
"bianca censori","100+","April 24, 2025 at 4:20:00 AM UTC-6","April 24, 2025 at 4:50:00 AM UTC-6","bianca censori","https://trends.google.com/trends/explore?q=bianca%20censori&geo=US&hl=en"
"jack o'connell","100+","April 24, 2025 at 1:30:00 AM UTC-6","April 24, 2025 at 2:10:00 AM UTC-6","jack o'connell","https://trends.google.com/trends/explore?q=jack%20o%27connell&geo=US&hl=en"
"disney+","100+","April 24, 2025 at 2:00:00 AM UTC-6","April 24, 2025 at 2:30:00 AM UTC-6","disney+","https://trends.google.com/trends/explore?q=disney%2B&geo=US&hl=en"
"alien romulus","100+","April 24, 2025 at 1:30:00 AM UTC-6","April 24, 2025 at 1:50:00 AM UTC-6","alien romulus","https://trends.google.com/trends/explore?q=alien%20romulus&geo=US&hl=en"
"robert pattinson","100+","April 24, 2025 at 2:00:00 AM UTC-6","April 24, 2025 at 2:20:00 AM UTC-6","robert pattinson","https://trends.google.com/trends/explore?q=robert%20pattinson&geo=US&hl=en"
"the bear","100+","April 24, 2025 at 1:30:00 AM UTC-6","April 24, 2025 at 1:50:00 AM UTC-6","the bear","https://trends.google.com/trends/explore?q=the%20bear&geo=US&hl=en"
